Nombre,Género,Fecha_Nacimiento,Altura,Peso,Profesión,Ciudad,Estado_Civil,Salario,Nivel_Educación,Cantidad_Hijos,Hora_Entrada,Hora_Salida,Tipo_Contrato
Sofia,F,1980-10-31,1.67,34.8,Staff Accountant II,Girón,Soltero,4832564,Universitario,7,6:19 AM,5:34 PM,Término Fijo
Isabella,F,1986-08-29,1.69,70.1,Librarian,Facatativá,Soltero,2131020,Bachillerato,2,5:00 AM,5:02 PM,Indefinido
Laura,F,1998-12-07,1.6,38.0,Senior Cost Accountant,Apartadó,Divorciado,3878379,Técnico,3,6:02 AM,7:36 PM,Término Fijo
Isabella,F,1980-06-21,1.6,88.5,Internal Auditor,Riohacha,Soltero,5500924,Bachillerato,3,9:03 AM,9:47 PM,Término Fijo
Sebastián,F,1988-11-23,1.5,85.7,Professor,Cúcuta,Casada,4930661,Posgrado,0,7:19 AM,9:01 PM,Indefinido
Juan,F,1959-01-08,1.5,105.9,Dental Hygienist,Dosquebradas,Soltero,3425232,Técnico,0,6:33 AM,7:43 PM,Indefinido
Gabriel,M,1971-10-26,1.76,73.2,Help Desk Technician,Sogamoso,Divorciado,3288881,Universitario,1,9:56 AM,11:42 PM,Término Fijo
Ana,M,1972-05-26,1.7,65.9,Safety Technician IV,Yopal,Casada,974548,Universitario,4,5:15 AM,9:14 PM,Indefinido
Matías,M,1956-04-22,1.89,102.0,Tax Accountant,Facatativá,Soltero,3447234,Bachillerato,4,9:07 AM,11:54 PM,Indefinido
Martina,M,1993-07-31,1.77,34.4,Budget/Accounting Analyst IV,Cúcuta,Divorciado,2334992,Bachillerato,4,7:23 AM,7:41 PM,Término Fijo
Juan,M,1982-01-20,1.64,41.1,Associate Professor,Envigado,Divorciado,4552949,Bachillerato,5,9:05 AM,8:08 PM,Término Fijo
Victoria,M,1980-07-18,1.53,61.8,Community Outreach Specialist,Palmira,Divorciado,3734410,Técnico,4,9:32 AM,11:03 PM,Indefinido
Mateo,F,1954-12-16,1.87,107.1,Recruiting Manager,Bucaramanga,Casada,5664654,Bachillerato,0,8:37 AM,9:37 PM,Término Fijo
Victoria,F,1990-12-04,1.78,39.4,Database Administrator III,Sincelejo,Divorciado,3190399,Universitario,7,9:22 AM,8:30 PM,Término Fijo
Gabriela,F,1987-08-09,1.88,78.2,Registered Nurse,Girón,Soltero,3737851,Universitario,2,8:56 AM,6:03 PM,Término Fijo
Sofia,F,1986-12-03,1.82,73.1,Paralegal,Apartadó,Soltero,3688633,Universitario,6,6:23 AM,9:07 PM,Término Fijo
Isabella,F,1963-05-15,1.46,35.7,Social Worker,Cartagena,Divorciado,4024283,Técnico,2,6:55 AM,8:32 PM,Término Fijo
Mateo,M,1969-02-18,1.58,69.8,Automation Specialist III,Maicao,Casada,3974392,Posgrado,3,9:52 AM,6:56 PM,Indefinido
Matías,F,1963-07-10,1.73,72.6,GIS Technical Architect,Sincelejo,Soltero,5529923,Técnico,1,9:34 AM,8:11 PM,Término Fijo
Camila,F,1982-10-19,1.65,43.0,Speech Pathologist,Popayán,Soltero,2897304,Posgrado,2,8:41 AM,11:38 PM,Indefinido
Diego,F,1977-09-24,1.66,29.6,VP Quality Control,Barranquilla,Casada,3825348,Técnico,1,9:31 AM,6:57 PM,Indefinido
Valentina,F,1974-12-06,1.73,109.6,Food Chemist,Montería,Divorciado,4688435,Técnico,5,5:53 AM,6:14 PM,Término Fijo
Felipe,F,1986-04-08,1.83,42.0,Payment Adjustment Coordinator,Bogotá,Casada,3955294,Bachillerato,6,8:55 AM,7:54 PM,Indefinido
Laura,F,1977-11-05,1.87,49.6,Account Representative IV,Facatativá,Divorciado,5998264,Posgrado,2,5:19 AM,11:55 PM,Término Fijo
Felipe,M,1961-11-24,1.43,42.7,Assistant Media Planner,Chía,Divorciado,2308724,Bachillerato,1,8:47 AM,10:38 PM,Indefinido
María,M,1999-12-27,1.44,41.8,Chemical Engineer,Fusagasugá,Soltero,3427307,Bachillerato,1,5:40 AM,5:38 PM,Indefinido
Ana,F,1953-09-15,1.69,56.8,Dental Hygienist,Envigado,Soltero,2627925,Posgrado,3,8:46 AM,10:43 PM,Término Fijo
Ana,M,1988-06-10,1.54,72.2,Quality Engineer,Ibagué,Divorciado,4079843,Bachillerato,4,5:04 AM,8:42 PM,Término Fijo
Joaquín,F,1987-08-18,1.58,85.9,Occupational Therapist,Facatativá,Divorciado,4173898,Posgrado,1,7:01 AM,6:20 PM,Indefinido
Juliana,F,1997-03-28,1.78,84.0,Account Coordinator,Manizales,Divorciado,1379167,Bachillerato,3,6:36 AM,6:51 PM,Término Fijo
Juan,M,1990-10-10,1.7,96.4,Biostatistician III,Manizales,Casada,2230572,Bachillerato,7,6:11 AM,9:16 PM,Indefinido
Valentina,M,1949-10-26,1.52,27.8,Design Engineer,Chía,Soltero,3408578,Posgrado,3,8:22 AM,5:38 PM,Término Fijo
Ana,F,1954-04-16,1.44,69.8,Actuary,Facatativá,Soltero,2911827,Posgrado,7,8:22 AM,7:05 PM,Indefinido
Matías,M,2000-03-06,1.53,47.0,Nurse Practicioner,Maicao,Casada,3387075,Bachillerato,3,6:13 AM,7:46 PM,Indefinido
Laura,M,1972-02-08,1.67,60.9,Product Engineer,Ocaña,Divorciado,4631013,Posgrado,1,5:19 AM,11:28 PM,Término Fijo
Bruno,M,1989-11-07,1.47,87.6,Automation Specialist II,Dosquebradas,Divorciado,5871468,Bachillerato,0,8:43 AM,5:02 PM,Indefinido
Laura,M,1989-07-06,1.66,29.1,Geological Engineer,Armenia,Soltero,2497205,Universitario,1,7:31 AM,10:25 PM,Indefinido
Ana,M,1994-06-04,1.46,46.8,Account Coordinator,Girardot,Divorciado,2209866,Técnico,5,6:29 AM,6:58 PM,Término Fijo
Matías,M,1964-02-05,1.79,49.8,Financial Analyst,Cúcuta,Divorciado,1237142,Bachillerato,0,8:55 AM,9:02 PM,Indefinido
Bruno,M,1996-09-28,1.54,67.6,Geologist IV,Fusagasugá,Soltero,1641557,Técnico,0,7:15 AM,10:30 PM,Indefinido
Gabriel,M,1955-01-19,1.86,51.5,VP Sales,Maicao,Divorciado,2327157,Posgrado,3,7:25 AM,11:43 PM,Indefinido
Victoria,M,1959-06-14,1.45,51.3,Chemical Engineer,Envigado,Casada,5236275,Universitario,3,6:15 AM,11:51 PM,Término Fijo
Laura,M,1982-04-13,1.46,103.7,VP Accounting,Ibagué,Soltero,4808794,Posgrado,6,5:53 AM,11:44 PM,Indefinido
Laura,M,1952-06-26,1.45,45.4,Office Assistant IV,Villavicencio,Casada,4207716,Posgrado,7,8:15 AM,6:23 PM,Indefinido
Juan,F,1955-06-03,1.87,61.3,VP Product Management,Armenia,Casada,2499057,Universitario,3,8:17 AM,10:42 PM,Indefinido
Sofia,M,1989-12-21,1.67,49.8,Computer Systems Analyst IV,Girardot,Divorciado,5843501,Técnico,2,5:49 AM,9:16 PM,Término Fijo
Santiago,F,1973-07-29,1.41,57.7,Financial Advisor,Quibdó,Divorciado,5085376,Técnico,7,8:23 AM,10:53 PM,Término Fijo
Felipe,F,1954-02-18,1.77,55.1,Librarian,Pasto,Casada,3565813,Universitario,1,6:40 AM,11:47 PM,Indefinido
Felipe,M,1950-10-22,1.78,89.9,Senior Sales Associate,Cali,Divorciado,2147533,Bachillerato,2,7:42 AM,11:19 PM,Indefinido
Joaquín,F,1999-04-29,1.57,61.2,Assistant Media Planner,Cúcuta,Soltero,5581388,Universitario,1,6:06 AM,7:34 PM,Indefinido
Lucas,M,1954-02-03,1.4,92.8,Budget/Accounting Analyst III,Bucaramanga,Divorciado,2724834,Técnico,8,8:10 AM,11:32 PM,Indefinido
Sofia,M,1981-09-12,1.65,63.3,Nurse,Yopal,Casada,1218729,Posgrado,6,6:38 AM,11:33 PM,Indefinido
Laura,M,1949-10-11,1.58,64.7,Technical Writer,Sogamoso,Casada,5529456,Bachillerato,0,7:20 AM,5:10 PM,Indefinido
Santiago,F,1968-01-28,1.82,82.0,Administrative Officer,Ocaña,Divorciado,2479023,Universitario,7,7:47 AM,6:54 PM,Término Fijo
Mariana,M,1953-04-15,1.84,36.7,Environmental Specialist,Floridablanca,Casada,5718827,Bachillerato,7,8:48 AM,11:36 PM,Indefinido
Juan,F,1972-09-11,1.69,101.7,Senior Editor,Cúcuta,Divorciado,4830430,Universitario,2,6:25 AM,5:39 PM,Indefinido
Luis,F,1983-01-27,1.87,48.8,Nuclear Power Engineer,Montería,Divorciado,3368134,Bachillerato,6,9:56 AM,7:57 PM,Término Fijo
Joaquín,F,1979-06-20,1.55,62.0,VP Marketing,Bogotá,Casada,5241957,Posgrado,7,6:08 AM,7:00 PM,Término Fijo
Mariana,M,1976-12-26,1.87,88.2,Database Administrator III,Soledad,Soltero,5521671,Técnico,7,8:06 AM,5:03 PM,Término Fijo
Isabella,M,1990-02-21,1.55,29.0,Administrative Officer,Cartagena,Casada,3562840,Posgrado,4,9:10 AM,5:10 PM,Indefinido
Valentina,F,1995-09-02,1.69,46.8,GIS Technical Architect,Itagüí,Soltero,2277591,Universitario,0,9:43 AM,5:25 PM,Indefinido
Sebastián,M,1986-12-25,1.8,70.7,VP Sales,Floridablanca,Divorciado,4247375,Universitario,8,8:29 AM,6:21 PM,Indefinido
Gabriela,M,1985-07-11,1.9,54.7,Engineer II,Soacha,Soltero,4488653,Posgrado,8,6:13 AM,6:47 PM,Término Fijo
Mariana,M,1967-01-23,1.41,94.9,Environmental Tech,Armenia,Casada,5317319,Bachillerato,3,8:00 AM,10:34 PM,Indefinido
Valeria,M,1972-12-27,1.45,35.9,Occupational Therapist,Armenia,Casada,2113435,Bachillerato,3,6:24 AM,11:50 PM,Término Fijo
Gabriela,M,1967-08-15,1.88,35.8,Environmental Tech,Riohacha,Soltero,4661255,Técnico,5,7:32 AM,11:25 PM,Término Fijo
Diego,F,1978-01-29,1.73,80.7,Help Desk Operator,Tunja,Soltero,3524789,Universitario,3,6:42 AM,11:31 PM,Término Fijo
Gabriela,F,1991-06-22,1.74,38.3,Web Designer III,Maicao,Soltero,3175211,Bachillerato,1,7:57 AM,8:53 PM,Indefinido
Victoria,M,1980-01-05,1.7,63.5,Health Coach I,Apartadó,Casada,3820803,Técnico,7,8:07 AM,7:26 PM,Indefinido
Victoria,M,1998-03-01,1.86,107.3,Electrical Engineer,Quibdó,Soltero,1808710,Bachillerato,7,6:56 AM,7:13 PM,Indefinido
Diego,F,1958-03-24,1.8,48.7,Payment Adjustment Coordinator,Soledad,Divorciado,2735146,Bachillerato,7,9:58 AM,9:29 PM,Término Fijo
Mateo,F,1959-01-13,1.41,28.1,Statistician I,Popayán,Soltero,2140330,Universitario,7,8:29 AM,10:09 PM,Indefinido
Valeria,M,1950-03-11,1.55,54.2,Civil Engineer,Manizales,Casada,2718774,Universitario,0,5:49 AM,10:13 PM,Indefinido
Santiago,M,1959-07-31,1.83,52.4,Design Engineer,Barranquilla,Casada,3111364,Bachillerato,0,9:46 AM,8:14 PM,Término Fijo
Antonella,M,1950-03-27,1.65,31.8,Biostatistician III,Pereira,Casada,2782349,Universitario,0,5:27 AM,6:54 PM,Indefinido
Diego,F,1983-10-29,1.73,100.3,Safety Technician I,Bogotá,Casada,3978913,Bachillerato,4,5:53 AM,9:02 PM,Indefinido
Diego,M,1973-07-16,1.84,30.0,Mechanical Systems Engineer,Zipaquirá,Casada,2245847,Técnico,1,5:33 AM,5:01 PM,Término Fijo
Laura,M,1964-01-01,1.88,40.7,Account Executive,Tumaco,Divorciado,3176080,Universitario,6,8:35 AM,9:17 PM,Indefinido
Valeria,M,1967-04-08,1.41,92.2,Business Systems Development Analyst,Palmira,Divorciado,2515368,Técnico,1,5:24 AM,6:34 PM,Indefinido
Sofia,M,1948-12-16,1.66,42.7,Sales Associate,Fusagasugá,Casada,4379983,Universitario,3,6:05 AM,11:10 PM,Término Fijo
Victoria,M,1971-06-05,1.46,32.0,Environmental Specialist,Riohacha,Casada,2132223,Técnico,8,5:45 AM,9:33 PM,Término Fijo
Valentina,F,1988-10-11,1.75,74.7,Food Chemist,Villavicencio,Soltero,5320225,Universitario,2,5:00 AM,7:25 PM,Término Fijo
Sebastián,F,1962-06-18,1.7,56.5,Human Resources Manager,Armenia,Soltero,3530234,Universitario,5,5:32 AM,9:46 PM,Término Fijo
Mariana,F,1957-05-29,1.46,37.1,Director of Sales,Florencia,Casada,5833518,Universitario,6,7:33 AM,10:08 PM,Término Fijo
Juliana,F,1961-01-06,1.84,62.8,Information Systems Manager,Ocaña,Casada,1465441,Universitario,7,9:22 AM,11:41 PM,Término Fijo
Ana,F,1992-07-04,1.8,85.6,Graphic Designer,Pereira,Divorciado,4092585,Posgrado,6,8:01 AM,6:30 PM,Indefinido
Antonella,F,1984-12-26,1.8,61.3,Accountant III,Cartagena,Casada,5585897,Técnico,3,6:02 AM,5:18 PM,Indefinido
Ana,M,1968-09-20,1.57,47.7,Speech Pathologist,Apartadó,Casada,5347855,Técnico,8,6:43 AM,10:16 PM,Término Fijo
Thiago,F,1979-11-23,1.84,91.4,Legal Assistant,Yopal,Divorciado,3169524,Técnico,8,8:15 AM,6:48 PM,Indefinido
Emanuel,F,1964-09-13,1.87,44.8,Legal Assistant,Florencia,Soltero,2551269,Universitario,0,6:44 AM,7:27 PM,Término Fijo
Juan,F,1955-02-20,1.56,74.7,Clinical Specialist,Bucaramanga,Casada,3227588,Técnico,2,9:30 AM,5:00 PM,Término Fijo
Juliana,F,1986-10-30,1.54,71.5,Food Chemist,Popayán,Casada,2617044,Técnico,5,9:41 AM,8:13 PM,Indefinido
Felipe,F,1986-07-05,1.7,45.2,Occupational Therapist,Pasto,Soltero,2561929,Universitario,2,9:20 AM,9:39 PM,Término Fijo
Matías,M,1999-08-26,1.44,80.0,Health Coach I,Cartago,Soltero,4339006,Bachillerato,4,5:08 AM,6:50 PM,Indefinido
Mateo,M,1972-02-01,1.88,44.3,Nurse,Pasto,Divorciado,5856006,Posgrado,7,7:47 AM,9:58 PM,Indefinido
Valeria,M,1980-02-17,1.9,67.3,Statistician IV,Cali,Divorciado,3885173,Técnico,8,7:13 AM,8:30 PM,Indefinido
Antonella,F,1958-02-09,1.87,63.6,Media Manager IV,Tumaco,Divorciado,5527165,Universitario,0,8:39 AM,10:49 PM,Término Fijo
Valeria,M,1973-06-21,1.56,55.9,Executive Secretary,Pereira,Divorciado,1357543,Técnico,8,7:28 AM,7:45 PM,Indefinido
Thiago,M,1983-11-15,1.55,28.6,Sales Associate,Sincelejo,Casada,4023463,Universitario,6,7:10 AM,10:33 PM,Indefinido
Victoria,F,1992-10-07,1.86,106.5,Help Desk Technician,Palmira,Casada,5679363,Posgrado,3,8:27 AM,10:46 PM,Término Fijo
Mariana,F,1960-07-20,1.62,80.9,Biostatistician IV,Cali,Divorciado,2882084,Bachillerato,6,5:52 AM,10:29 PM,Indefinido
Joaquín,M,1980-04-26,1.76,90.2,Teacher,Zipaquirá,Soltero,2396215,Universitario,1,7:21 AM,10:23 PM,Término Fijo
Valentina,F,1987-11-04,1.69,74.7,Accounting Assistant IV,Sogamoso,Divorciado,5177854,Posgrado,1,6:40 AM,9:05 PM,Indefinido
Camila,M,1951-10-07,1.58,81.2,Environmental Tech,Fusagasugá,Divorciado,5346422,Bachillerato,7,6:02 AM,8:03 PM,Término Fijo
Thiago,F,1965-01-28,1.77,52.7,Registered Nurse,Tunja,Soltero,2633575,Universitario,4,8:55 AM,5:25 PM,Término Fijo
Mateo,F,1970-11-19,1.73,71.9,Nurse Practicioner,Floridablanca,Soltero,2093081,Posgrado,0,6:51 AM,8:25 PM,Término Fijo
Valeria,M,1971-01-26,1.48,105.8,Chemical Engineer,Sincelejo,Casada,5446040,Universitario,7,9:06 AM,6:42 PM,Indefinido
Matías,F,1958-08-01,1.65,89.0,Senior Cost Accountant,Sogamoso,Casada,5783273,Posgrado,7,5:40 AM,10:20 PM,Término Fijo
Luis,M,1997-12-14,1.57,109.4,Account Executive,Quibdó,Divorciado,4556704,Posgrado,5,7:10 AM,7:06 PM,Término Fijo
Pedro,F,1970-03-30,1.84,47.4,Human Resources Assistant III,Sincelejo,Soltero,5296589,Posgrado,4,8:11 AM,9:26 PM,Indefinido
Mateo,F,1961-04-08,1.45,50.6,Executive Secretary,Magangué,Divorciado,1361073,Técnico,7,5:31 AM,11:27 PM,Indefinido
Laura,F,1952-07-26,1.74,35.9,Programmer IV,Floridablanca,Casada,1485533,Técnico,6,6:41 AM,5:32 PM,Término Fijo
Valentina,F,1990-04-05,1.46,91.9,Chemical Engineer,Montería,Soltero,1879781,Técnico,6,5:37 AM,5:39 PM,Indefinido
Juan,M,1980-02-11,1.81,39.9,Senior Quality Engineer,Facatativá,Casada,4952525,Posgrado,4,9:28 AM,11:17 PM,Indefinido
Joaquín,M,1981-08-15,1.43,67.5,General Manager,Bogotá,Divorciado,1002815,Técnico,0,8:21 AM,5:48 PM,Indefinido
Juan,F,1971-07-31,1.64,51.2,Editor,Barranquilla,Soltero,4068880,Técnico,1,8:16 AM,6:26 PM,Término Fijo
Santiago,M,1975-06-27,1.52,65.4,Research Associate,Apartadó,Soltero,3623428,Universitario,8,7:10 AM,7:36 PM,Término Fijo
Sebastián,M,1986-09-21,1.88,58.2,Social Worker,Facatativá,Divorciado,5236985,Universitario,0,7:03 AM,6:31 PM,Indefinido
Sofia,M,1962-02-15,1.54,103.1,Graphic Designer,Palmira,Soltero,2494412,Técnico,2,9:41 AM,10:51 PM,Indefinido
Antonella,F,1987-11-19,1.55,74.3,Budget/Accounting Analyst I,Riohacha,Divorciado,4252797,Técnico,5,6:38 AM,7:29 PM,Indefinido
Sebastián,M,1963-06-17,1.58,50.6,Programmer IV,Floridablanca,Divorciado,5361460,Bachillerato,3,9:09 AM,11:28 PM,Indefinido
Diego,F,1975-11-15,1.8,68.9,Data Coordinator,Ibagué,Divorciado,1074316,Posgrado,1,8:10 AM,6:24 PM,Término Fijo
Victoria,F,1952-07-19,1.56,91.2,Assistant Media Planner,Tumaco,Casada,1263068,Posgrado,2,7:15 AM,10:47 PM,Término Fijo
Mariana,M,1968-11-26,1.76,90.1,Structural Engineer,Facatativá,Soltero,2564743,Universitario,7,7:42 AM,6:21 PM,Indefinido
Juliana,M,1983-03-12,1.58,39.8,Help Desk Technician,Tunja,Divorciado,1207734,Técnico,7,9:12 AM,6:54 PM,Término Fijo
Luis,M,1980-03-22,1.49,107.6,Health Coach I,Girón,Casada,3629920,Técnico,6,8:39 AM,8:46 PM,Indefinido
Santiago,F,1989-06-09,1.69,76.4,Health Coach III,Villavicencio,Casada,5219062,Técnico,6,8:01 AM,9:04 PM,Término Fijo
Diego,F,1972-12-02,1.78,109.7,Safety Technician IV,Popayán,Divorciado,3133455,Posgrado,6,6:34 AM,8:33 PM,Indefinido
Sebastián,M,1956-03-13,1.42,55.3,Clinical Specialist,Medellín,Casada,5491896,Universitario,4,5:54 AM,6:48 PM,Indefinido
Martina,F,1965-01-13,1.47,84.6,Physical Therapy Assistant,Girardot,Soltero,3607308,Técnico,0,9:16 AM,9:27 PM,Término Fijo
Martina,F,2000-08-04,1.87,25.9,Associate Professor,Facatativá,Soltero,1951674,Bachillerato,0,9:58 AM,6:31 PM,Término Fijo
Laura,F,1985-10-13,1.52,67.7,VP Marketing,Soacha,Divorciado,3801173,Bachillerato,5,9:13 AM,5:46 PM,Indefinido
Santiago,F,1977-01-26,1.56,81.4,Geological Engineer,Fusagasugá,Soltero,2881780,Universitario,3,8:16 AM,9:35 PM,Indefinido
Santiago,F,1987-05-28,1.47,63.4,Staff Accountant III,Sincelejo,Soltero,4081536,Universitario,3,8:32 AM,8:25 PM,Término Fijo
Antonella,F,1964-06-03,1.67,47.3,Librarian,Armenia,Divorciado,2142416,Bachillerato,2,5:57 AM,7:59 PM,Término Fijo
Joaquín,M,1963-10-15,1.52,63.4,Director of Sales,Yopal,Divorciado,2279642,Técnico,7,5:30 AM,11:54 PM,Término Fijo
Gabriela,F,1971-05-06,1.83,86.8,Paralegal,Ocaña,Divorciado,1039199,Bachillerato,4,5:18 AM,5:22 PM,Indefinido
Victoria,M,1975-02-15,1.83,106.4,Sales Representative,Magangué,Divorciado,1418620,Bachillerato,7,9:40 AM,6:32 PM,Término Fijo
Victoria,F,1973-06-14,1.47,82.2,Staff Accountant I,Neiva,Soltero,4777411,Técnico,1,8:04 AM,5:22 PM,Término Fijo
Mateo,M,1964-01-22,1.8,88.8,Research Assistant III,Bogotá,Soltero,1598974,Universitario,8,6:54 AM,5:59 PM,Término Fijo
Emanuel,M,1953-08-24,1.6,69.4,Financial Analyst,Riohacha,Soltero,5075789,Universitario,7,6:33 AM,8:09 PM,Término Fijo
Thiago,F,1953-04-13,1.84,49.7,Geological Engineer,Cúcuta,Soltero,2017466,Universitario,4,9:08 AM,5:58 PM,Indefinido
Ana,F,1961-10-25,1.56,41.9,Marketing Assistant,Cartagena,Casada,5515426,Universitario,2,5:08 AM,7:54 PM,Término Fijo
Juan,M,1994-10-17,1.81,80.1,Web Designer IV,Ocaña,Divorciado,3270885,Universitario,3,9:08 AM,6:03 PM,Término Fijo
Ana,F,1953-12-16,1.77,58.2,Nurse,Arauca,Divorciado,3049778,Técnico,1,7:38 AM,6:52 PM,Indefinido
Juan,F,1949-04-29,1.69,82.2,Business Systems Development Analyst,Dosquebradas,Soltero,4202066,Bachillerato,5,8:01 AM,9:18 PM,Indefinido
Diego,F,1970-11-22,1.43,42.4,Professor,Cali,Casada,3369139,Posgrado,3,9:52 AM,11:45 PM,Indefinido
Felipe,M,1955-08-02,1.59,50.7,Biostatistician I,Yopal,Divorciado,3183387,Posgrado,2,7:03 AM,6:06 PM,Término Fijo
Emanuel,M,1950-09-03,1.42,34.9,Operator,Girón,Divorciado,2285065,Universitario,4,5:33 AM,7:15 PM,Indefinido
Sebastián,F,1967-12-23,1.54,102.6,Environmental Specialist,Palmira,Casada,5852051,Técnico,7,6:11 AM,11:02 PM,Indefinido
Mateo,F,1978-01-26,1.77,63.4,Software Test Engineer IV,Pasto,Divorciado,1049639,Técnico,8,8:52 AM,5:25 PM,Término Fijo
Mateo,M,1977-11-24,1.6,73.1,Environmental Specialist,Ibagué,Divorciado,3878448,Bachillerato,6,9:51 AM,11:25 PM,Término Fijo
Luis,M,1958-04-30,1.42,38.2,Staff Accountant IV,Riohacha,Casada,4939126,Posgrado,2,6:56 AM,5:57 PM,Término Fijo
Laura,M,1972-01-18,1.47,95.8,Internal Auditor,Arauca,Casada,4851543,Bachillerato,2,9:44 AM,5:54 PM,Término Fijo
Sebastián,F,1964-02-11,1.63,34.4,Editor,Cali,Soltero,2949617,Bachillerato,5,9:26 AM,8:53 PM,Indefinido
Gabriel,F,1970-04-15,1.7,47.5,Sales Associate,Riohacha,Divorciado,5821990,Universitario,6,5:47 AM,7:10 PM,Término Fijo
Bruno,M,1994-11-27,1.54,34.9,Payment Adjustment Coordinator,Envigado,Divorciado,4377364,Técnico,7,6:22 AM,9:34 PM,Indefinido
Pedro,F,1951-06-10,1.43,55.3,Systems Administrator II,Zipaquirá,Divorciado,3261358,Universitario,2,9:01 AM,8:15 PM,Término Fijo
Valentina,F,1970-11-07,1.75,32.3,Teacher,Montería,Casada,3245309,Técnico,7,9:55 AM,6:52 PM,Término Fijo
Victoria,M,1969-12-13,1.69,61.0,Registered Nurse,Pereira,Soltero,1514378,Bachillerato,2,8:55 AM,6:32 PM,Término Fijo
Camila,M,1966-09-17,1.89,67.7,Speech Pathologist,Zipaquirá,Divorciado,5231825,Posgrado,2,6:39 AM,9:50 PM,Indefinido
Bruno,M,1956-08-27,1.82,65.7,Nurse Practicioner,Soacha,Casada,5040536,Posgrado,1,9:45 AM,8:40 PM,Término Fijo
Santiago,F,1966-02-09,1.57,91.9,Associate Professor,Magangué,Casada,4343801,Posgrado,7,9:20 AM,5:30 PM,Indefinido
Emanuel,F,1966-08-08,1.88,40.5,Product Engineer,Soacha,Soltero,1511472,Técnico,5,7:21 AM,10:13 PM,Indefinido
Juliana,F,1966-08-21,1.81,49.9,Software Test Engineer I,Cali,Soltero,4988730,Técnico,1,7:32 AM,6:21 PM,Indefinido
Valentina,F,1952-09-07,1.87,37.4,Assistant Media Planner,Palmira,Divorciado,5179760,Universitario,3,9:35 AM,11:04 PM,Indefinido
Emanuel,M,1983-06-28,1.87,56.8,Budget/Accounting Analyst III,Ocaña,Casada,3673244,Universitario,1,5:19 AM,5:44 PM,Indefinido
Lucas,M,1949-10-28,1.81,52.6,VP Product Management,Santa Marta,Divorciado,5839015,Técnico,5,5:19 AM,7:44 PM,Término Fijo
Emanuel,F,1969-04-05,1.48,49.8,Design Engineer,Girón,Soltero,3923395,Posgrado,6,6:43 AM,6:52 PM,Término Fijo
